Channel       #Bin     Energy(GeV)  eLEEx=1  Signal Background  Data
==============================
numuCC PC    	 7     0.60-0.70     0.00  9893.77  1056.02    11876
numuCC PC    	 8     0.70-0.80     0.00  8879.55  1011.42    10433
numuCC PC    	 9     0.80-0.90     0.00  7301.43   929.12     8541
numuCC PC    	10     0.90-1.00     0.00  5780.96   774.05     6501
numuCC PC    	11     1.00-1.10     0.00  4418.41   644.26     4823
numuCC PC    	12     1.10-1.20     0.00  3111.43   525.00     3484
numuCC PC    	13     1.20-1.30     0.00  2250.19   413.65     2330
numuCC PC    	14     1.30-1.40     0.00  1601.66   319.93     1653
numuCC PC    	15     1.40-1.50     0.00  1042.59   268.89     1075
numuCC PC    	16     1.50-1.60     0.00   782.16   221.38      726
numuCC PC    	17     1.60-1.70     0.00   551.53   161.93      539
numuCC PC    	18     1.70-1.80     0.00   391.59   132.04      388
numuCC PC    	19     1.80-1.90     0.00   288.62   107.41      252
numuCC PC    	20     1.90-2.00     0.00   204.60    98.22      181
numuCC PC    	21     2.00-2.10     0.00   158.92    75.42      163
numuCC PC    	22     2.10-2.20     0.00   126.92    65.86      115
numuCC PC    	23     2.20-2.30     0.00    91.07    62.39      111
numuCC PC    	24     2.30-2.40     0.00    75.38    49.44       76
numuCC PC    	25     2.40-2.50     0.00    57.04    41.50       60
numuCC PC    	26     2.50-         0.00   233.78   280.66      308
==============================
numuCCpi0 FC 	 1     0.00-0.10     0.00   783.91   268.43     1139
numuCCpi0 FC 	 2     0.10-0.20     0.00   622.73   181.14      692
numuCCpi0 FC 	 3     0.20-0.30     0.00   409.42   110.64      419
numuCCpi0 FC 	 4     0.30-0.40     0.00   227.99    69.97      234
numuCCpi0 FC 	 5     0.40-0.50     0.00   117.62    53.37      152
numuCCpi0 FC 	 6     0.50-0.60     0.00    69.70    28.87       78
numuCCpi0 FC 	 7     0.60-0.70     0.00    34.52    18.11       50
numuCCpi0 FC 	 8     0.70-0.80     0.00    25.33    12.55       40
numuCCpi0 FC 	 9     0.80-0.90     0.00    16.78     9.55       26
